prompt,poem,off-topic,no connection,attributional,offset,incoherent,metaphorical
hope is a ship,"hope can be slippery,
just as a ship
never get jittery'
when it stops being hip.",0,0,0,0,1,0
hope is a ship,"If the color yellow could sink or swim
then clouds of mercy would take us in
If there were ever a chance
then this sail would dance.",0,1,0,0,1,0
hope is a ship,"hope sailing, moving
I keep navigating
anchored my ship but not the destination
A glimpse of the horizon, through storms and strong tides
Until I arrived.",0,0,0,0,0,1
hate is a mist,"""be careful who you hate. it might be someone Love.""
its easy to hate people
for things you dont understand.
i know, i have been on both ends(...)",0,1,0,0,0,0
hate is a mist,"Hate is a mist
It floats through the air
Spreading everywhere
Covering all that there is",0,0,0,0,0,1
hate is a mist,"hatred is never justified,
like the mist.
don't get people petrified,
throwing your fist.",0,0,0,0,1,0
hate is a mist,"He spits at me with fiery tongues,
his fists with betrayal, his eyes with loathing.
The love we knew turned to thick, toxic vapor,
and now we sit in its mist.",0,0,0,0,0,1
hate is a mist,"Hate is black and reminds us of what we lack
It is like a poison fog that surrounds our souls
Hindering us from reaching our goals 
To those who hate, I say let it go. Rely on fate before it’s too late.",0,0,0,0,0,1
hate is a mist,"Ancient grievance, when will you fade?
My vision and life obscured by hate,
It feels like carrying a sodden weight
Through mist and fog that I have made.",0,0,0,0,1,0
hate is a mist,"Surrounded by an angry fog,
The kind that fits as snug as clothes,
It turns near every dialogue,
Into discourse with whom I loathe.",0,0,1,0,1,0
hate is a mist,"It flows all around you.
It touches every adam of your soul
It starts out as just a droplet and then
it is hate as a mist.",0,0,0,0,0,1
hate is a mist,"Hate and discontent spray over them all
Contaminating them with fear, anger, emotion
The hate envelops their souls
Taking away their love they once made",0,0,0,0,0,1
grace is a garden,"In the green, does my soft willow await
Her hands outstretched in open embrace
Her delicate feet like fresh shorn grass
A damn shame her face looks like that",0,1,0,0,1,0
grace is a garden,"Gentility needs no pardon
It's supple fruits display
Soft and graceful adorn
Shines bright as day",0,1,0,0,1,0
grace is a garden,"Life can be calm like a sunny field
Or rough like the sea
Do what you can to stay in rays of the sun
Live like the world is your garden",0,1,0,1,0,0
grace is a garden,"A roses blooms
as it captures the sun's glow;
Vibrant red in the sun's light
Reminder that the day near; 
The rose is surrounded by a garden of life
Awaking to greet a new day;
The garden is full of peace, 
As the rose leads the way to a new day",0,1,0,1,0,0
grace is a garden,"In the face of frustration or an angry face
What we always have with us is our grace
Especially when the situation makes us want to go
These are the times that our grace will grow",0,0,0,0,0,1
grace is a garden,"My buds are small but make a racket.
The showers of spring bring the thunder of youth.
My buzzing workers spread the life of experience.
My brightest flowers are still with truth.",0,1,0,1,0,0
grace is a garden,"There is life but plants are waking up with a yawn and a stretch and a touch to the snooze alarm.
If you have not started seeds for your garden yet this year, you are thinking about it.  The thrill starts when you open that seed catalog and start dreaming.",0,1,0,0,0,0
grace is a garden,"grace is beautiful..
like a garden.
she can be plentiful,
but she is modern.",0,0,0,0,1,0
grace is a garden,She was like a bounty of flowers .  So beautiful   she was that men cried when they saw her.  But Grace is no more gone like a burning rope. Only like a  vague  winter memory of summer flowers..,0,1,0,0,1,0
god is a breath,"Like wind through the trees
The beating wings of bees
Lifted above life's shifting sand
The breath of God love's spirit is fanned",0,0,1,0,0,0
god is a breath,"As I lay here
I feel my breath, In, Out, In
I am in my part of the universe
God is in his, I am God",0,0,1,0,1,0
god is a breath,"He's a cool gentle breeze,
That rustles through the trees,
Life can be found,
When we just look around.",0,0,0,1,0,0
god is a breath,"Just being in your presence ...
Refreshes and renews me...
Just like a breath of heaven...
Made by God Above..

God breathed 
into his nostrils 
the breath of life,
And the man became a living being.",0,0,1,0,0,0
god is a breath,"Divinity on the wind,
Feeling warm in frigid air,
I walk with the sacred breeze
Weaving gently through my hair.",0,0,0,1,0,0
god is a breath,"Out of the black, a breath of blue
curling, traveling, to kiss atoms gently awake.
They stretch, far and bright, welcoming life,
to build the image of their maker.",0,0,0,0,1,0
god is a breath,"When at a time in your life you are in a lonely place
And you feel you just don't belong
Judging by the look on your face
You raise your head and look around realizing God was beside you all along",0,1,0,0,0,0
god is a breath,"When the veil of love surrounds you
And the world may be unkind
I'll place my loving arms around you
And take you far from this place and time

this has always been in my mind, think I've heard it before, but now sure where, just seems beautiful and to me, can be used in this context, God speaking inwardly to someone, or that someone feeling Him, to them... saying in affect, when you know you love Me and you are unhappy with all about you (also in the context of one considering assisted suicide, I could imagine), I will take you to Me.",0,1,0,0,0,0
god is a breath,"When I feel far from God,
There is a special thing that I do,
I take a very deep breath!
He gave it also to you.",0,1,0,0,1,0
immortality is a room,"Life's never ending, inside these four walls.
Always on the edge.  Don't drop the balls.
Inside these four walls, life's never ending.
Always moving, bouncing and bending.",0,0,0,1,1,0
immortality is a room,"Walls closing in, time coming to an end
Is there a way out, a window, a door
no there is nothing there, nothing more
Just sit here and wait, nothing left to amend",0,0,0,0,1,0
immortality is a room,"Immortality is isolation, alone in a room.
Nothing but frustration, longing for a tomb.
Trapped in a box that is safe and warm.
Wishing for death, and  seeking out harm.",0,0,0,0,0,1
immortality is a room,"A room look like a immortal
If it does the things on natural
people on the room say the truth
And love to one another with portal
A room look like a immortal.",0,0,0,0,1,0
immortality is a room,"immortality has four walls,
it is confined and constrained.
death is endless and infinite.
which scares you more?",0,0,0,0,1,0
immortality is a room,"Immortality lies just down the hall
The path to it is not easy to find
To only a few does it send out a call
The answer to which lies deep in one's mind.",0,0,0,0,0,1
immortality is a room,"When I am inside my room
I look outside at open fields
These four walls feel like a tomb
Where I will eat my one last meal",0,1,0,0,1,0
immortality is a room,"Stuck in a place that feels like a doom
It seems I've been here forever, leaving no time soon
As time keeps ticking, days go by
I realize I must rise form the doom, my life will never die!",0,1,0,0,0,0
immortality is a room,"Boxed in, four corners
Hands up, in horror
No warning, no time
In this room, I'm alive",0,1,0,0,0,0
immortality is a room,"Immortality is a room, that we can't see.
But do we carry, is it certain doom?
Everlasting life and constrained without a tomb.
Can it be escaped and be made right?
Will we beg for terminal age and an end of light?",0,0,0,0,1,0
hope is a ship,"Hope feels like a ship
I feel like eating chips and dip
Hope feels like a ship
I want to go dip in the water",0,1,0,0,1,0
hope is a ship,"A sheltered place in the storm
My voyage for adventure born
A conquest on the waters torn
To home and love, my heart is warm",0,1,0,0,1,0
hope is a ship,"Hope is the craft, that carries me to shore.
Hope is the water that guides me across the ocean.
Hope is the waves that crash against the rocks.
Hope is the key, that helps me break the locks.",0,0,0,0,0,1
hope is a ship,"My dreams are secure in you
riding the waves of this life.
Knowing one day 
we both will dock and see the light",0,0,0,1,0,0
hope is a ship,"Hope is a ship in which we sail
 When the winds blow our way
On a beautiful day Id love to say
That the wind will blow our way",0,0,0,0,0,1
hope is a ship,"The longing for those beyond the horizon
The desire for land to lay eyes on
The passion for places to explore
The faith that the sea holds more",0,0,1,0,1,0
hope is a ship,"We dream of things we want to be
and by hard work our ideas will sail
never giving in to doubt or worry
in our dreams we vision that our wishes will come true
even if the voyage to reach our destiny is rough
the vessel we call our brains will carry us through
we hope within our hearts we can do this even though the sails are tough
we are built to make it",0,0,0,1,0,1
hope is a ship,"All aboard, 
Today at dock,
Tonight under the stars,
Tomorrow we rock.",0,1,0,0,0,0
hate is a mist,"This cold feeling surrounds my total world
I am overcome by the chilling swirl. 
I see nothing but this bold, blinding cloud 
Beyond my control - I cry out loud.",0,0,0,0,0,1
hate is a mist,"twisting into a knot of spite
negativity hardens a broken heart
let go of the dark and seize the light
tangled vines of hate soon fall apart",0,1,0,0,0,0
hate is a mist,"The disgust of the rain that clouds my window pain
As visions of you cloud my memory
Makes me bitter and broken
Like a fog that only I can see",0,0,0,0,0,1
hate is a mist,"Hatred is growing inside me
Broken and I cannot see.
Your words are like a sharpened knife
Please release me and give back my life.",0,1,0,0,0,0
hate is a mist,"Love is kind and gentle
But never forget
That along comes hate
Like an unexpected mist",0,0,0,0,1,0
hate is a mist,I wish in moonlight that stars came here instead of being there.that day i will feel full of warm and no more tears will fall from my face.that day i will feel full of joy and hopes and try to fulfill all the hopes,1,1,0,0,0,0
hate is a mist,"Oh how at first you burn so brightly
Only to disappear into the air.
Reaching the skies above
Where only one truly cares.",0,0,0,0,1,0
hate is a mist,"Hate is a mist
In a world of darkness
There is no light
For many people are lost
And not one can be saved",0,0,0,0,0,1
hate is a mist,"My anger, it coats the world
Like the morning fog
Or the drizzle of June
Death. Soon.",0,0,0,0,0,1
hate is a mist,"comes as it wills
goes as it wills 
don't trouble young man
see, and step aside",1,1,0,0,0,0
grace is a garden,"Through flower and field, through thorn and thicket
she blissfully strides, her fairness flaunting about.
Her beauty, her splendor, her grandeur, her beauty
echoes in the trees which line her route.",0,0,1,1,0,0
grace is a garden,"Grace is a garden.
The gentle petals gleaming with dew.
Each step fragile.
Do not misstep.",0,0,0,0,1,0
grace is a garden,"Colorful blossoms with their cheerful faces following the sun,
Skyward they reach, every single one.
When at day's end their yearning for glorious light is done,
Gently they look down to the ground once again.",0,1,0,0,0,0
grace is a garden,"lilting scents of earth and flower,
round the edges of my wandering mind,
peace nuzzles at the sparkling glade,
while leaves drift on the breeze like down",0,1,0,0,0,0
grace is a garden,"Refreshing and lively to my soul,
A place of peace to my mind,
Blooming with candor,
An air of finesse.",0,0,0,0,0,1
grace is a garden,"A little slice of heaven, to those who venture near,
Perhaps to bend and take a sniff of flowers everywhere.
Sometimes they visit quickly, while others seek her peace,
Her beauty is a sanctuary, for most worries release.",0,1,0,0,1,0
grace is a garden,"Running to and fro without a care in the world,
Seeing your face glisten with delight.
Giving me the room to be who I am
While loving who you are in this open beautiful space.",0,1,0,0,1,0
grace is a garden,"A garden is a place where my troubles go away.
Where stress washes into the mulch and soil in the flower bed.
When i'm there I can honestly say
My life is pure and me and God and talking in my head.",0,1,1,0,0,0
grace is a garden,"Peaceful garden,
Filled with his pardon
love grows here
bringing cheer daily as we walk in his grace,
Believer's dwelling place.",0,0,0,0,0,1
god is a breath,"God is a breath, he brings life to every kind of creatures.
We all live because God is a breath.
God has brought all life to Earth and we live because God is a breath.
God is a breath of fresh air everywhere we go on the planet.",0,0,0,0,0,1
god is a breath,"God is Life, God is Hope, In rough times of life you need God to cope.
God can see, God can hear, You always call upon him in times of despair.
God is Mighty and God is strong, we sing and rejoice in prayer and song.
God loves me and God loves you, Making God happy is what we all should do.",0,1,0,0,0,0
god is a breath,"Air into my lungs...bringing with it the essence of life
Life is the higher power which defines us and the universe
Once within us the highest of high powers rules all
Always there, always being replenished",0,0,0,0,0,1
god is a breath,"The light shines from the heavens above
Those who have fallen feel warmth
The light lifts the abandoned above the darkness
Able to see the light; bathed in love; born again",0,1,0,0,0,0
god is a breath,You inhale God into your being.,0,0,0,0,1,0
god is a breath,"God is inhalation and exhalation,
The gentle tide of breathing 
Which is life inside your soul, 
Love inside your heart.",0,0,0,0,1,0
god is a breath,"When you take a deep breath he take a deep breath.
He is the man above who should be loved by everyone else.
He is in the skies in a incredible man.
God is amazing, he is a breath, and I hope you understand.",0,0,0,0,1,0
god is a breath,"The air I breathe,
The song that I sing,
The atmosphere around me,
Is my God, my King.",0,0,0,0,1,0
god is a breath,"The lord breathes life in to us all
The warm breath creates our soul,
It gives us hope in our lives
It guides us to our final goal.",0,0,1,0,1,0
god is a breath,"Spiritual inhalation
He is now within
Internal restoration
Exhale, then inhale again",0,0,0,0,1,0
